starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tape_color
9:23:57,5.46E-02,51,7000,red
9:25:47,0.4889366,52,7000,red
9:27:03,4.03E-02,53,7000,red
9:28:17,7.32E-02,54,7000,red
9:29:49,3.70E-02,55,7000,red
9:30:53,2.36E-02,56,7000,red
9:32:02,3.30E-02,57,7000,red
9:33:41,2.66E-02,58,7000,red
9:34:55,3.09E-02,59,7000,red
9:35:55,3.76E-02,60,7000,red
9:36:58,2.61E-02,61,7000,red
9:38:10,0.8216428,62,7000,red
9:39:42,4.89E-02,63,7000,red
9:41:01,4.66E-02,64,7000,red
9:42:29,3.74E-02,65,7000,red
9:43:56,2.46E-02,66,7000,red
9:45:08,4.84E-02,67,7000,red
9:46:15,2.99E-02,68,7000,red
9:47:27,0.3707877,69,7000,red
9:48:43,0.0691594,70,7000,red
9:50:17,4.77E-02,71,7000,red
9:51:22,4.70E-02,72,7000,red
9:52:47,8.76E-02,73,7000,red
9:54:28,2.97E-02,74,7000,red
9:55:38,6.45E-02,75,7000,red
9:56:54,7.79E-03,76,7000,red
9:58:58,5.60E-03,77,7000,red
9:23:57,1.155432,51,6262,blue
9:25:47,5.68E-02,52,6262,blue
9:27:03,4.30E-02,53,6262,blue
9:28:17,0.6278889,54,6262,blue
9:29:49,4.79E-02,55,6262,blue
9:30:53,0.0762504,56,6262,blue
9:32:02,0.8612362,57,6262,blue
9:33:41,5.90E-02,58,6262,blue
9:34:55,6.47E-02,59,6262,blue
9:35:55,4.27E-02,60,6262,blue
9:36:58,0.0575097,61,6262,blue
9:38:10,9.07E-02,62,6262,blue
9:39:42,4.82E-02,63,6262,blue
9:41:01,0.6925814,64,6262,blue
9:42:29,4.81E-02,65,6262,blue
9:43:56,4.62E-02,66,6262,blue
9:45:08,4.68E-02,67,6262,blue
9:46:15,4.77E-02,68,6262,blue
9:47:27,0.1819114,69,6262,blue
9:48:43,1.138562,70,6262,blue
9:50:17,0.0621728,71,6262,blue
9:51:22,1.003572,72,6262,blue
9:52:47,1.621116,73,6262,blue
9:54:28,0.1087267,74,6262,blue
9:55:38,3.49E-02,75,6262,blue
9:56:54,1.25E-02,76,6262,blue
9:58:58,0.0116057,77,6262,blue
