starttime_VCO2_6262_1,area_VCO2_6262_1,n,real_N,licor,tape_Color
7:15:27,0.0511166,1,1,7000,blue
7:17:07,4.43E-02,2,4,7000,blue
7:18:16,0.1034723,3,7,7000,blue
7:19:32,4.11E-02,4,10,7000,blue
7:20:31,0.1620705,5,11,7000,blue
7:21:53,9.67E-02,6,12,7000,blue
7:23:14,8.60E-02,7,17,7000,blue
7:24:37,5.67E-02,8,18,7000,blue
7:26:10,6.25E-02,9,21,7000,blue
7:27:33,6.68E-02,10,22,7000,blue
7:28:44,5.56E-02,11,23,7000,blue
7:30:16,6.54E-02,12,24,7000,blue
7:31:27,5.08E-02,13,28,7000,blue
7:32:29,0.7816414,14,29,7000,blue
7:33:58,0.0523514,15,30,7000,blue
7:35:03,0.0338194,16,31,7000,blue
7:36:01,5.85E-02,17,32,7000,blue
7:37:02,0.0324235,18,34,7000,blue
7:38:02,0.6895463,19,40,7000,blue
7:39:36,0.603866,20,41,7000,blue
7:40:49,6.17E-03,21,46,7000,blue
7:41:40,6.64E-03,22,47,7000,blue
7:15:27,5.85E-02,1,4,6262,white
7:17:07,8.25E-02,2,6,6262,white
7:18:16,4.82E-02,3,13,6262,white
7:19:32,1.80E-02,4,15,6262,white
7:20:31,0.1085783,5,16,6262,white
7:21:53,0.1134958,6,17,6262,white
7:23:14,0.1409875,7,18,6262,white
7:24:37,0.1810636,8,21,6262,white
7:26:10,7.96E-02,9,31,6262,white
7:27:33,3.81E-02,10,32,6262,white
7:28:44,9.20E-02,11,39,6262,white
7:30:16,0.1059743,12,41,6262,white
7:31:27,5.51E-02,13,42,6262,white
7:32:29,1.367566,14,43,6262,white
7:33:58,1.62E-02,15,46,6262,white
7:35:03,1.57E-02,16,47,6262,white
7:36:01,2.29E-03,17,,6262,white
7:37:02,2.04E-03,18,,6262,white
7:38:02,2.98E-03,19,,6262,white
7:39:36,2.39E-03,20,,6262,white
7:40:49,1.63E-03,21,,6262,white
7:41:40,2.37E-03,22,,6262,white
