starttime_VCO2_6262_1,area_VCO2_6262_1,n,real_n,licor,tape_color
17:15:04,7.36E-02,1,2,7000,red
17:16:13,5.07E-02,2,3,7000,red
17:17:55,4.60E-02,3,5,7000,red
17:19:41,7.42E-02,4,12,7000,red
17:21:03,4.44E-02,5,17,7000,red
17:22:16,5.71E-02,6,20,7000,red
17:23:42,7.71E-02,7,22,7000,red
17:25:12,0.0377047,8,23,7000,red
17:27:09,0.0449268,9,27,7000,red
17:28:32,8.05E-02,10,33,7000,red
17:29:50,9.71E-02,11,36,7000,red
17:31:11,3.78E-02,12,38,7000,red
17:32:59,8.22E-02,13,41,7000,red
17:34:41,3.73E-03,14,46,7000,red
17:35:46,4.39E-03,15,47,7000,red
17:15:04,0.1168848,1,2,6262,orange
17:16:13,0.183258,2,3,6262,orange
17:17:55,0.1222877,3,17,6262,orange
17:19:41,0.1604711,4,22,6262,orange
17:21:03,0.1162104,5,27,6262,orange
17:22:16,0.1302225,6,30,6262,orange
17:23:42,0.1074911,7,32,6262,orange
17:25:12,0.1368604,8,34,6262,orange
17:27:09,0.1384158,9,35,6262,orange
17:28:32,0.1036008,10,36,6262,orange
17:29:50,7.02E-02,11,40,6262,orange
17:31:11,0.1350479,12,43,6262,orange
17:32:59,1.67E-02,13,46,6262,orange
17:34:41,1.41E-02,14,47,6262,orange
17:35:46,2.12E-03,15,,6262,orange
