starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tape_color
16:22:54,9.26E-02,1,7000,white
16:24:16,9.53E-02,2,7000,white
16:25:23,7.10E-02,3,7000,white
16:26:35,0.4311019,4,7000,white
16:27:53,0.0378261,5,7000,white
16:28:59,8.66E-02,6,7000,white
16:30:10,0.1012211,7,7000,white
16:31:17,1.80E-02,8,7000,white
16:32:19,9.14E-02,9,7000,white
16:33:32,7.49E-02,10,7000,white
16:34:57,7.28E-02,11,7000,white
16:36:20,7.64E-02,12,7000,white
16:37:31,6.62E-02,13,7000,white
16:38:38,0.1649732,14,7000,white
16:39:59,9.95E-02,15,7000,white
16:41:08,0.1108265,16,7000,white
16:42:15,7.09E-02,17,7000,white
16:43:26,4.30E-02,18,7000,white
16:44:39,4.19E-02,19,7000,white
16:46:09,6.70E-02,20,7000,white
16:47:34,0.0776213,21,7000,white
16:48:40,8.91E-02,22,7000,white
16:49:45,7.97E-02,23,7000,white
16:50:46,7.57E-02,24,7000,white
16:51:47,7.18E-02,25,7000,white
16:52:50,8.57E-03,26,7000,white
16:53:49,0.0100958,27,7000,white
16:22:54,7.06E-02,1,6262,orange
16:24:16,0.1401653,2,6262,orange
16:25:23,0.1541952,3,6262,orange
16:26:35,8.39E-02,4,6262,orange
16:27:53,0.136436,5,6262,orange
16:28:59,0.1225405,6,6262,orange
16:30:10,0.1165826,7,6262,orange
16:31:17,0.109236,8,6262,orange
16:32:19,0.1444648,9,6262,orange
16:33:32,1.704375,10,6262,orange
16:34:57,1.736426,11,6262,orange
16:36:20,0.2777743,12,6262,orange
16:37:31,0.090781,13,6262,orange
16:38:38,0.1649042,14,6262,orange
16:39:59,0.1359802,15,6262,orange
16:41:08,0.1589851,16,6262,orange
16:42:15,9.00E-02,17,6262,orange
16:43:26,0.1873853,18,6262,orange
16:44:39,8.84E-02,19,6262,orange
16:46:09,0.115618,20,6262,orange
16:47:34,0.1574935,21,6262,orange
16:48:40,0.1474403,22,6262,orange
16:49:45,7.58E-02,23,6262,orange
16:50:46,0.114211,24,6262,orange
16:51:47,0.1292692,25,6262,orange
16:52:50,1.26E-02,26,6262,orange
16:53:49,1.59E-02,27,6262,orange
