starttime_VCO2_6262_1,,area_VCO2_6262_1,n,licor,tape_colour,real_n," this file is named batch 2, but it is really batch 1 ; nb #005 , pg 118"
24:12:15,12:12:15,4.25E-02,1,7000,blue,1,
24:13:31,12:13:31,0.1053867,2,7000,blue,2,
24:14:45,12:14:45,0.1119123,3,7000,blue,7,
24:16:00,12:16:00,0.7204083,4,7000,blue,8,
24:17:33,12:17:33,3.64E-02,5,7000,blue,10,
24:18:59,12:18:59,0.028961,6,7000,blue,12,
24:20:17,12:20:17,3.79E-02,7,7000,blue,16,
24:21:29,12:21:29,0.8031469,8,7000,blue,21,
24:23:10,12:23:10,0.6875143,9,7000,blue,22,
24:24:35,12:24:35,1.03E-02,10,7000,blue,24,
24:25:40,12:25:40,0.0485763,11,7000,blue,25,
24:27:06,12:27:06,0.8748754,12,7000,blue,26,
24:28:31,12:28:31,0.8467078,13,7000,blue,31,
24:29:52,12:29:52,0.8287383,14,7000,blue,36,
24:31:10,12:31:10,0.6463687,15,7000,blue,37,
24:32:26,12:32:26,6.26E-03,16,7000,blue,39,
24:33:34,12:33:34,8.19E-02,17,7000,blue,41,
24:34:43,12:34:43,0.6783423,18,7000,blue,45,
24:35:59,12:35:59,6.23E-03,19,7000,blue,46,
24:36:51,12:36:51,6.19E-03,20,7000,blue,47,
24:12:15,12:12:15,5.18E-02,1,6262,white,4,
24:13:31,12:13:31,0.1008603,2,6262,white,7,
24:14:45,12:14:45,0.1108548,3,6262,white,8,
24:16:00,12:16:00,1.522163,4,6262,white,14,
24:17:33,12:17:33,0.7312465,5,6262,white,15,
24:18:59,12:18:59,3.46E-02,6,6262,white,17,
24:20:17,12:20:17,8.11E-02,7,6262,white,21,
24:21:29,12:21:29,1.30E-02,8,6262,white,23,
24:23:10,12:23:10,5.07E-02,9,6262,white,24,
24:24:35,12:24:35,7.61E-02,10,6262,white,25,
24:25:40,12:25:40,6.63E-02,11,6262,white,27,
24:27:06,12:27:06,0.1195026,12,6262,white,35,
24:28:31,12:28:31,8.65E-02,13,6262,white,40,
24:29:52,12:29:52,7.49E-02,14,6262,white,44,
24:31:10,12:31:10,5.90E-02,15,6262,white,45,
24:32:26,12:32:26,1.20E-02,16,6262,white,46,
24:33:34,12:33:34,1.26E-02,17,6262,white,47,
24:34:43,12:34:43,9.39E-04,18,6262,white,,
24:35:59,12:35:59,8.69E-04,19,6262,white,,
24:36:51,12:36:51,9.78E-04,20,6262,white,,
