read_day,trik_ID,bins,counts,light_status,uniqueID,eclosion_date,eclosion_days,well_id,organism,Trikinetics_entry_LD_time,trik_cohort,day,time
1,18,0:15,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,0
1,18,0:30,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,0.25
1,18,0:45,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,0.5
1,18,1:00,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,0.75
1,18,1:15,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,1
1,18,1:30,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,1.25
1,18,1:45,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,1.5
1,18,2:00,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,1.75
1,18,2:15,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,2
1,18,2:30,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,2.25
1,18,2:45,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,2.5
1,18,3:00,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,2.75
1,18,3:15,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,3
1,18,3:30,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,3.25
1,18,3:45,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,3.5
1,18,4:00,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,3.75
1,18,4:15,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,4
1,18,4:30,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,4.25
1,18,4:45,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,4.5
1,18,5:00,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,4.75
1,18,5:15,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,5
1,18,5:30,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,5.25
1,18,5:45,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,5.5
1,18,6:00,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,5.75
1,18,6:15,25,0.933333333,5w69,9/26/17,32,A7,fly,16:08,1,5,6
1,18,6:30,23,1,5w69,9/26/17,32,A7,fly,16:08,1,5,6.25
1,18,6:45,12,1,5w69,9/26/17,32,A7,fly,16:08,1,5,6.5
1,18,7:00,5,1,5w69,9/26/17,32,A7,fly,16:08,1,5,6.75
1,18,7:15,6,1,5w69,9/26/17,32,A7,fly,16:08,1,5,7
1,18,7:30,15,1,5w69,9/26/17,32,A7,fly,16:08,1,5,7.25
1,18,7:45,1,1,5w69,9/26/17,32,A7,fly,16:08,1,5,7.5
1,18,8:00,4,1,5w69,9/26/17,32,A7,fly,16:08,1,5,7.75
1,18,8:15,4,1,5w69,9/26/17,32,A7,fly,16:08,1,5,8
1,18,8:30,1,1,5w69,9/26/17,32,A7,fly,16:08,1,5,8.25
1,18,8:45,1,1,5w69,9/26/17,32,A7,fly,16:08,1,5,8.5
1,18,9:00,0,1,5w69,9/26/17,32,A7,fly,16:08,1,5,8.75
1,18,9:15,0,1,5w69,9/26/17,32,A7,fly,16:08,1,5,9
1,18,9:30,3,1,5w69,9/26/17,32,A7,fly,16:08,1,5,9.25
1,18,9:45,25,1,5w69,9/26/17,32,A7,fly,16:08,1,5,9.5
1,18,10:00,0,1,5w69,9/26/17,32,A7,fly,16:08,1,5,9.75
1,18,10:15,10,1,5w69,9/26/17,32,A7,fly,16:08,1,5,10
1,18,10:30,6,1,5w69,9/26/17,32,A7,fly,16:08,1,5,10.25
1,18,10:45,11,1,5w69,9/26/17,32,A7,fly,16:08,1,5,10.5
1,18,11:00,13,1,5w69,9/26/17,32,A7,fly,16:08,1,5,10.75
1,18,11:15,14,1,5w69,9/26/17,32,A7,fly,16:08,1,5,11
1,18,11:30,0,1,5w69,9/26/17,32,A7,fly,16:08,1,5,11.25
1,18,11:45,0,1,5w69,9/26/17,32,A7,fly,16:08,1,5,11.5
1,18,12:00,7,1,5w69,9/26/17,32,A7,fly,16:08,1,5,11.75
1,18,12:15,2,1,5w69,9/26/17,32,A7,fly,16:08,1,5,12
1,18,12:30,0,1,5w69,9/26/17,32,A7,fly,16:08,1,5,12.25
1,18,12:45,0,1,5w69,9/26/17,32,A7,fly,16:08,1,5,12.5
1,18,13:00,0,1,5w69,9/26/17,32,A7,fly,16:08,1,5,12.75
1,18,13:15,25,1,5w69,9/26/17,32,A7,fly,16:08,1,5,13
1,18,13:30,10,1,5w69,9/26/17,32,A7,fly,16:08,1,5,13.25
1,18,13:45,16,1,5w69,9/26/17,32,A7,fly,16:08,1,5,13.5
1,18,14:00,12,1,5w69,9/26/17,32,A7,fly,16:08,1,5,13.75
1,18,14:15,0,1,5w69,9/26/17,32,A7,fly,16:08,1,5,14
1,18,14:30,0,1,5w69,9/26/17,32,A7,fly,16:08,1,5,14.25
1,18,14:45,10,1,5w69,9/26/17,32,A7,fly,16:08,1,5,14.5
1,18,15:00,2,1,5w69,9/26/17,32,A7,fly,16:08,1,5,14.75
1,18,15:15,0,1,5w69,9/26/17,32,A7,fly,16:08,1,5,15
1,18,15:30,5,1,5w69,9/26/17,32,A7,fly,16:08,1,5,15.25
1,18,15:45,25,1,5w69,9/26/17,32,A7,fly,16:08,1,5,15.5
1,18,16:00,44,1,5w69,9/26/17,32,A7,fly,16:08,1,5,15.75
1,18,16:15,47,1,5w69,9/26/17,32,A7,fly,16:08,1,5,16
1,18,16:30,22,1,5w69,9/26/17,32,A7,fly,16:08,1,5,16.25
1,18,16:45,15,1,5w69,9/26/17,32,A7,fly,16:08,1,5,16.5
1,18,17:00,11,1,5w69,9/26/17,32,A7,fly,16:08,1,5,16.75
1,18,17:15,21,1,5w69,9/26/17,32,A7,fly,16:08,1,5,17
