"","read_day","trik_ID","bins","counts","light_status"
"1",1,"t1","00:15",0,0
"2",1,"t1","00:30",0,0
"3",1,"t1","00:45",0,0
"4",1,"t1","01:00",0,0
"5",1,"t1","01:15",0,0
"6",1,"t1","01:30",0,0
"7",1,"t1","01:45",0,0
"8",1,"t1","02:00",0,0
"9",1,"t1","02:15",0,0
"10",1,"t1","02:30",0,0
"11",1,"t1","02:45",0,0
"12",1,"t1","03:00",0,0
"13",1,"t1","03:15",1,0
"14",1,"t1","03:30",0,0
"15",1,"t1","03:45",0,0
"16",1,"t1","04:00",0,0
"17",1,"t1","04:15",0,0
"18",1,"t1","04:30",1,0
"19",1,"t1","04:45",0,0
"20",1,"t1","05:00",0,0
"21",1,"t1","05:15",0,0
"22",1,"t1","05:30",0,0
"23",1,"t1","05:45",1,0
"24",1,"t1","06:00",0,0
"25",1,"t1","06:15",51,0.933333333333333
"26",1,"t1","06:30",10,1
"27",1,"t1","06:45",0,1
"28",1,"t1","07:00",0,1
"29",1,"t1","07:15",0,1
"30",1,"t1","07:30",0,1
"31",1,"t1","07:45",1,1
"32",1,"t1","08:00",7,1
"33",1,"t1","08:15",42,1
"34",1,"t1","08:30",13,1
"35",1,"t1","08:45",42,1
"36",1,"t1","09:00",19,1
"37",1,"t1","09:15",0,1
"38",1,"t1","09:30",20,1
"39",1,"t1","09:45",5,1
"40",1,"t1","10:00",0,1
"41",1,"t1","10:15",0,1
"42",1,"t1","10:30",0,1
"43",1,"t1","10:45",20,1
"44",1,"t1","11:00",22,1
"45",1,"t1","11:15",0,1
"46",1,"t1","11:30",0,1
"47",1,"t1","11:45",0,1
"48",1,"t1","12:00",0,1
"49",1,"t1","12:15",14,1
"50",1,"t1","12:30",0,1
"51",1,"t1","12:45",0,1
"52",1,"t1","13:00",15,1
"53",1,"t1","13:15",11,1
"54",1,"t1","13:30",0,1
"55",1,"t1","13:45",0,1
"56",1,"t1","14:00",0,1
"57",1,"t1","14:15",0,1
"58",1,"t1","14:30",3,1
"59",1,"t1","14:45",0,1
"60",1,"t1","15:00",8,1
"61",1,"t1","15:15",0,1
"62",1,"t1","15:30",0,1
"63",1,"t1","15:45",0,1
"64",1,"t1","16:00",0,1
"65",1,"t1","16:15",0,1
"66",1,"t1","16:30",0,1
"67",1,"t1","16:45",1,1
"68",1,"t1","17:00",7,1
"69",1,"t1","17:15",0,1
"70",1,"t1","17:30",14,1
"71",1,"t1","17:45",19,1
"72",1,"t1","18:00",0,1
"73",1,"t1","18:15",0,1
"74",1,"t1","18:30",4,1
"75",1,"t1","18:45",5,1
"76",1,"t1","19:00",17,1
"77",1,"t1","19:15",16,1
"78",1,"t1","19:30",1,1
"79",1,"t1","19:45",1,1
"80",1,"t1","20:00",0,0.933333333333333
"81",1,"t1","20:15",0,0
"82",1,"t1","20:30",0,0
"83",1,"t1","20:45",0,0
"84",1,"t1","21:00",0,0
"85",1,"t1","21:15",0,0
"86",1,"t1","21:30",0,0
"87",1,"t1","21:45",0,0
"88",1,"t1","22:00",0,0
"89",1,"t1","22:15",0,0
"90",1,"t1","22:30",0,0
"91",1,"t1","22:45",0,0
"92",1,"t1","23:00",0,0
"93",1,"t1","23:15",0,0
"94",1,"t1","23:30",0,0
"95",1,"t1","23:45",0,0
"96",1,"t1","24:00",0,0
"97",1,"t1",NA,0,0
"98",1,"t10","00:15",3,0
"99",1,"t10","00:30",0,0
"100",1,"t10","00:45",0,0
"101",1,"t10","01:00",0,0
"102",1,"t10","01:15",2,0
"103",1,"t10","01:30",2,0
"104",1,"t10","01:45",0,0
"105",1,"t10","02:00",0,0
"106",1,"t10","02:15",0,0
"107",1,"t10","02:30",0,0
"108",1,"t10","02:45",0,0
