Ind_ID,tape,Site_name,mass_day10,purge_time_1,purge1,collection_date,day10,cohort_date,cohort_day,Host,Li-cor_1,resp_time_1,resp_day11,mass_day14,purge_time_2,resp_time_2,resp_day15,Li_cor2,treatment_day15,exit_fridge_date,Eclosion_reference_date,notes,Resp_code,treatment,uniqueID,eclosion_date,eclosion_days,well_id,organism,Trikinetics_position,Trik_monitor,Trikinetics_entry_LD_time,Trikinetic_exit_date,Trikinetics_exit_LD_time,notes_2,Free_run_trik_monitor,Free_run_trik_position,Free_run_entry_date,Free_run_entry_time,Free_run_exit_date,Free_run_exit_time,notes_3,Adult_death_date,Uncaused_death,msmr,dia_class
1,white,OG,9.966,16:49,,8/16/2018,9/5/2018,8/26/2018,11,Apple,6262,11:18:09,0.1970401,,,,,,9/10/2018,,,,,Simulated Overwintering,h11w1_18,,,A2,,,,,,,,,,,,,,,,,0.019771232,Diapause
2,white,OG,9.912,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,6262,11:19:13,0.1333659,,,,,,9/10/2018,,,,,genetic control,h11w2_18,,,,,,,,,,,,,,,,,,,,0.013454994,Diapause
3,white,OG,6.542,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,6262,11:20:28,0.7448993,,,,,,9/10/2018,,,,,genetic control,h11w3_18,,,,,,,,,,,,,,,,,,,,0.113864155,Non-diapause
4,white,Ferris,9.175,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,6262,11:21:44,0.8528716,,,,,,9/10/2018,,,,,Simulated Overwintering,h11w4_18,,,D5,,,,,,,,,,,,,,,,,0.092956033,Non-diapause
5,white,Ferris,6.368,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,6262,11:23:07,0.1378871,,,,,,9/10/2018,,,,,Simulated Overwintering,h11w5_18,,,B11,,,,,,,,,,,,,,,,,0.021653125,Diapause
6,white,OG,11.004,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,6262,11:24:33,0.2489103,,,,,,9/10/2018,,,,,genetic control,h11w6_18,,,,,,,,,,,,,,,,,,,,0.022619984,Diapause
7,white,OG,7.3,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,6262,11:25:43,0.3853647,,,,,,9/10/2018,,,,,Simulated Overwintering,h11w7_18,,,H8,,,,,,,,,,,,,,,,,0.052789685,Diapause
8,white,Ferris,10.097,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,6262,11:26:49,1.25784,,,,,,9/10/2018,,,,,Simulated Overwintering,h11w8_18,,,F4,,,,,,,,,,,,,,,,,0.124575617,Non-diapause
9,white,Ferris,8.203,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,6262,11:28:06,0.1002569,,,,,,9/10/2018,,,,,RT eclosion,h11w9_18,,,F12,,,,,,,,,,,,,,,,,0.01222198,Diapause
10,white,Ferris,9.542,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,6262,11:29:08,1.19463,,,,,,9/10/2018,,,,,RT eclosion,h11w10_18,,,C6,,,,,,,,,,,,,,,,,0.125197024,Non-diapause
